parameter_id,matlab_name,symbol,description,value_numeric,value_text,units,provenance_class,source_id,source_location,configuration_or_condition,status,used_in_nominal_model,uncertainty_or_range,notes
MASS-REF-004,max_zero_fuel_weight_kg,,Published maximum zero-fuel weight,62500,,kg,OEM-PUBLIC,SRC-OEM-WEB-A320CEO,Maximum weights,A320ceo,BASELINED,NO,,Reference limit only.
MASS-001,mass_kg,m,Research-model aircraft mass,52650,,kg,LITERATURE,SRC-LIT-UPV-001,Table 5.4.1,A320-200 research model; exact operating condition to verify,PROPOSED,YES_WHEN_BASELINED,Sensitivity range TBD,"Within published A320 weight limits, but applicability to the selected aerodynamic derivative condition must be confirmed."
INER-001,Ixx_kgm2,I_x,Roll-axis mass moment of inertia,2120270,,kg*m^2,LITERATURE,SRC-LIT-UPV-001,Table 5.4.1,A320-200 research model,PROPOSED,NO_FOR_LONGITUDINAL,TBD,Retained for future 6-DOF work; not Airbus OEM inertia data.
INER-002,Iyy_kgm2,I_y,Pitch-axis mass moment of inertia,2382660,,kg*m^2,LITERATURE,SRC-LIT-UPV-001,Table 5.4.1,A320-200 research model,PROPOSED,YES_WHEN_BASELINED,Sensitivity range TBD,Critical longitudinal parameter. Must receive an explicit reasonableness/sensitivity review before baseline.
INER-003,Izz_kgm2,I_z,Yaw-axis mass moment of inertia,1730970,,kg*m^2,LITERATURE,SRC-LIT-UPV-001,Table 5.4.1,A320-200 research model,PROPOSED,NO_FOR_LONGITUDINAL,TBD,Retained for future 6-DOF work; review required before use.
INER-004,Ixz_kgm2,I_xz,Body-axis x-z product of inertia,0,,kg*m^2,LITERATURE,SRC-LIT-UPV-001,Table 5.4.1,A320-200 research model,PROPOSED,NO_FOR_LONGITUDINAL,TBD,Zero is a research-model simplification unless independently validated.
PROP-001,engine_count,N_e,Number of engines in the literature thrust model,2,,count,LITERATURE,SRC-LIT-UPV-001,Table 5.4.2,CFM56-5B research thrust model,PROPOSED,OPTIONAL,,Detailed propulsion dynamics are outside the initial longitudinal stability model.
PROP-002,source_T0_N,T_0,Thrust-model T0 value reported by literature source,118000,,N,LITERATURE,SRC-LIT-UPV-001,Table 5.4.2,CFM56-5B research thrust model,PROPOSED,NO_UNTIL_INTERPRETED,,Do not assume per-engine versus total thrust until the source model equations are reviewed.
FLT-001,altitude_m,h_0,Nominal pressure altitude,,TBD,m,TBD,,,Nominal trim point,TBD,REQUIRED,,To be selected consistently with the aerodynamic derivative source.
FLT-002,true_airspeed_mps,V_0,Nominal true airspeed,,TBD,m/s,TBD,,,Nominal trim point,TBD,REQUIRED,,Do not select independently of Mach/altitude/source condition.
FLT-003,mach,M_0,Nominal Mach number,,TBD,dimensionless,TBD,,,Nominal trim point,TBD,REQUIRED,,
FLT-004,cg_mac_fraction,x_CG/c_bar,Center-of-gravity location expressed using project MAC convention,,TBD,fraction,TBD,,,Nominal trim point,TBD,REQUIRED_IF_USED_BY_MODEL,,"UPV source reports xCoG/cw = 1.214, but its reference definition must be understood before import."
TRIM-001,alpha_trim_rad,alpha_0,Trim angle of attack,,TO_BE_SOLVED,rad,DERIVED,,Future trim solver,Nominal trim point,TBD,REQUIRED,,Will be generated from the baselined trim solution.
TRIM-002,theta_trim_rad,theta_0,Trim pitch attitude,,TO_BE_SOLVED,rad,DERIVED,,Future trim solver,Nominal trim point,TBD,REQUIRED,,
TRIM-003,delta_e_trim_rad,delta_e0,Equivalent elevator trim deflection,,TO_BE_SOLVED,rad,DERIVED,,Future trim solver,Nominal trim point,TBD,REQUIRED,,
TRIM-004,thrust_trim_N,T_trim,Total equivalent thrust required for trim,,TO_BE_SOLVED,N,DERIVED,,Future trim solver,Nominal trim point,TBD,REQUIRED_IF_THRUST_INCLUDED,,
